phonème,graphème,occurences,pourcentage,exemple_1,exemple_2,exemple_3
ʁ,res,7494,0.0,abampères,abandonnataires,abandonwares
ʁ,rf,8,0.0,cerf,hircocerf,nerf
ʁ,rfs,7,0.0,cerfs,nerfs,technoserfs
ʁ,rg,16,0.0,bourbourg,bourg,bourgmestresse
ʁ,rgh,0,0.0,,,
ʁ,rgs,8,0.0,bourbourgs,bourgs,brandebourgs
ʁ,rps,13,0.0,anticorps,autoanticorps,bicorps
ʁ,rrent,121,0.0,aberrent,abhorrent,acarrent
ʁ,rres,191,0.0,aberres,abhorres,acarres
ʁ,rrhent,2,0.0,arrhent,enarrhent,
ʁ,rrhes,5,0.0,arrhes,catarrhes,cirrhes
ʁ,rrs,2,0.0,birrs,torrs,
ʁ,rs,5769,0.0,abaisseurs,abajours,abandonnateurs
ʁ,rts,256,0.0,accorts,acrosports,aigremorts
ʁ,ghe,1,0.0,tifinaghe,,
ʁ,ghes,1,0.0,tifinaghes,,
ʁ,ghs,1,0.0,tifinaghs,,
l,l’,119,0.0,babil’s,coquel’œil,coquel’œils
l,l,404269,0.88,aalclim,aalclim,aalclims
l,ll,28587,0.06,abainvillois,abainvilloise,abainvilloises
l,e,184,0.0,battle,bubblegum,bundle
l,gl,571,0.0,agglo,agglomère,agglomèrent
l,le,8920,0.01,abacule,abaissable,abale
l,li,14,0.0,aliya,aliyas,arteli
l,lh,1,0.0,poolhouse,,
l,lle,2565,0.0,abeillerolle,abolle,abrelle
l,es,7,0.0,battles,bundles,crumbles
l,lent,1718,0.0,abalent,abolent,abouclent
l,les,6319,0.01,abaissables,abales,abandonnables
l,llent,392,0.0,abâtellent,accumoncellent,agnellent
l,lles,1554,0.0,abeillerolles,abolles,abrelles
l,lls,53,0.0,amphimulls,atolls,attolls
l,ls,1414,0.0,ababils,abandogiciels,abdals
j,y,9876,0.02,abaya,abayai,abayaient
j,y’,2,0.0,y’,y’a,
j,hi,1389,0.0,abrachiocéphale,abrachiocéphales,abrachiocéphalie
j,hy,249,0.0,bathyal,bathyale,brachyodonte
j,i,298339,0.81,aalénien,aalénienne,aaléniennes
j,ï,896,0.0,abaïa,abaïai,abaïaient
j,j,194,0.0,adjalètes,adjoukrou,ajoureuse
j,yi,279,0.0,abayiez,abayions,abreyiez
j,e,384,0.0,aboyeur,aboyeurs,accueilliez
j,g,183,0.0,allotriologies,attagènes,brunschvicgienne
j,ii,52,0.0,barbéiiez,barbéiions,bousquiiez
j,ïi,8,0.0,abaïiez,abaïions,daïiez
j,ill,30913,0.08,abeillage,abeillages,abeillard
j,ille,1818,0.0,abeille,abeillerolle,abeillerolles
j,illi,1245,0.0,abeillier,abeilliers,accoquilliez
j,gh,217,0.0,brightique,brightiques,brightisme
j,gui,0,0.0,,,
j,l,137,0.0,abbevillienne,abbevilliennes,acervallienne
j,lh,0,0.0,,,
j,ll,14140,0.03,abillois,abilloise,abilloises
j,lle,625,0.0,abrille,acastille,accastille
j,lli,794,0.0,abrilliez,abrillions,acastilliez
j,n,172,0.0,actonnienne,actonniennes,avignonnaise
j,u,128,0.0,acquiers,acquiert,acquiesce
j,ye,251,0.0,abaye,abiye,abreye
j,glie,2,0.0,bonnevoglie,bonne-voglie,
j,glies,2,0.0,bonnevoglies,bonnes-voglies,
j,ie,14,0.0,barakie,barbéie,faséie
j,ïe,15,0.0,abaïe,azalaïe,aïe
j,ïes,8,0.0,abaïes,ambubaïes,daïes
j,ïent,4,0.0,abaïent,daïent,pantaïent
j,il,195,0.0,abeilhanais,abeilhanaise,abeilhanaises
j,illes,938,0.0,abeilles,accoquilles,accordailles
j,ils,115,0.0,accueils,adrigails,aiguails
j,illent,716,0.0,accoquillent,accrabouillent,accueillent
j,is,6,0.0,bodois,joseis,kamishibais
j,ïs,31,0.0,adaïs,attaïs,azalaïs
j,llent,268,0.0,abrillent,acastillent,accastillent
j,lles,406,0.0,abrilles,acastilles,accastilles
j,yent,122,0.0,abayent,abreyent,abrèyent
j,yes,136,0.0,abayes,abreyes,abrèyes
j,ys,16,0.0,atays,attays,boys
w,ho,126,0.0,agathois,aguanishois,aguanishoise
w,hou,49,0.0,cacahouète,cacahouètes,cahouètes
w,ou,8159,0.16,ababouiné,ababouinée,ababouinées
w,w,4731,0.09,abakwariga,abandonware,abandonwares
w,o,32777,0.67,abainvillois,abainvilloise,abainvilloises
w,hu,19,0.0,cacahuètes,chihuahua,chihuahua
w,oo,85,0.0,reshampooina,reshampooinai,reshampooinaient
w,oy,18,0.0,anvoye,broyemens,broyement
w,u,2882,0.05,acquaintance,acquaintances,acquois
ɥ,hu,438,0.01,antisoixantehuitard,antisoixantehuitards,aujourd’hui
ɥ,u,24118,0.98,abanui,abanuie,abanuies
ɥ,ü,50,0.0,ambigüité,ambigüités,argüer
ɥ,’hu,0,0.0,,,
i,hi,7988,0.0,abishira,absinthine,absinthines
i,hie,142,0.0,abrachie,acanthie,acroposthie
i,hient,1,0.0,hient,,
i,hies,97,0.0,abrachies,acanthies,acroposthies
i,y,32164,0.03,abioglyphe,abioglyphes,abutyrotomofilogène
i,hy,8050,0.0,acrothymion,acrothymions,acétaldéhyde
i,i,742958,0.86,aakérite,aakérites,aalclim
i,î,3902,0.0,abalourdîmes,abalourdîtes,abanuîmes
